time_sec,fading_linear
79.2465,1.17831
79.2565,1.18064
79.2665,1.10654
79.2703,1.10355
79.3165,1.21156
79.3665,1.15253
79.3703,1.08724
79.4165,1.0132
79.4265,1.12901
79.4365,1.1578
79.4466,1.13866
79.4565,1.16491
79.4665,1.1405
79.4703,1.12292
79.5165,1.14156
79.5665,1.04772
79.5703,1.01105
79.6165,0.798399
79.6265,0.844065
79.6365,0.803684
79.6465,0.73128
79.6565,0.799579
79.6665,0.860349
79.6703,0.849052
79.7165,0.813967
79.7665,1.13978
79.7703,1.1899
79.8166,1.43553
79.8266,1.45901
79.8365,1.45133
79.8465,1.4968
79.8566,1.55303
79.8666,1.55602
79.8703,1.55381
79.9166,1.5668
79.9665,1.23919
79.9703,1.21741
80.0166,1.07027
80.0265,1.0886
80.0365,1.05676
80.0465,1.00828
80.0565,1.03007
80.0665,1.0549
80.0703,1.03526
80.1165,0.817356
80.1665,0.605748
80.1703,0.56567
80.2165,0.525121
80.2266,0.593427
80.2366,0.623117
80.2466,0.5499
80.2565,0.576802
80.2666,0.692953
80.2703,0.706867
80.3166,0.690495
80.3666,0.885279
80.3703,0.911961
80.4165,1.05261
80.4266,0.988343
80.4366,1.06662
80.4465,1.20284
80.4565,1.16201
80.4665,1.06584
80.4703,1.07253
80.5166,1.2692
80.5666,1.24327
80.5703,1.2542
80.6166,1.18337
80.6266,1.05552
80.6366,1.02592
80.6466,1.07072
80.6566,0.993352
80.6666,0.849662
80.6703,0.824908
80.7166,0.639066
80.7666,0.438773
80.7703,0.421487
80.8166,0.520719
80.8266,0.62347
80.8366,0.625308
80.8466,0.615935
80.8566,0.68063
80.8666,0.739571
80.8703,0.751557
80.9166,0.888933
80.9666,0.915266
80.9703,0.949798
81.0166,1.20673
81.0266,1.28435
81.0366,1.22554
81.0466,1.26233
81.0566,1.33669
81.0666,1.33004
81.0703,1.32674
81.1166,1.37186
81.1666,1.25553
81.1703,1.2378
81.2166,1.19605
81.2266,1.1398
81.2366,1.01019
81.2466,1.02725
81.2566,1.08096
81.2666,1.00879
81.2703,0.987332
81.3166,0.982458
81.3666,1.13619
81.3703,1.07307
81.4166,1.08089
81.4266,1.09531
81.4366,1.05176
81.4466,0.975323
81.4566,0.948471
81.4666,0.896061
81.4703,0.863755
81.5166,0.827702
81.5666,0.90786
81.5704,0.898425
81.6166,1.04433
81.6266,1.06288
81.6366,1.04323
81.6466,1.10481
81.6566,1.19148
81.6666,1.12124
81.6703,1.06909
81.7166,0.945087
81.7666,0.767775
81.7704,0.755527
81.8166,0.838757
81.8266,0.901615
81.8366,0.846896
81.8466,0.893048
81.8566,1.02676
81.8666,1.0008
81.8704,0.965345
81.9166,0.916992
81.9666,0.872754
81.9703,0.829225
82.0166,0.62603
82.0266,0.787737
82.0366,0.864672
82.0466,0.767353
82.0566,0.78624
82.0666,0.9314
82.0703,0.966865
82.1166,1.09666
82.1666,1.27827
82.1703,1.29314
82.2166,1.39023
82.2266,1.44778
82.2366,1.49298
82.2466,1.4042
82.2566,1.33469
82.2666,1.39646
82.2704,1.4203
82.3166,1.17711
82.3666,1.02545
82.3703,1.03601
82.4166,1.16126
82.4266,1.10311
82.4366,1.017
82.4466,1.03448
82.4566,1.05035
82.4666,0.97052
82.4704,0.938871
82.5166,0.918398
82.5666,1.04411
82.5704,1.04455
82.6166,0.876569
82.6266,0.801464
82.6366,0.792354
82.6466,0.807717
82.6567,0.779328
82.6666,0.710095
82.6704,0.680179
82.7166,0.652509
82.7666,0.815966
82.7703,0.833238
82.8166,0.982835
82.8266,0.965151
82.8366,0.99117
82.8466,1.03231
82.8566,1.03227
82.8666,1.06104
82.8704,1.08497
82.9166,1.07642
82.9666,0.776163
82.9703,0.756874
83.0167,0.766135
83.0267,0.785735
83.0367,0.709245
83.0466,0.739705
83.0566,0.797575
83.0667,0.747769
83.0704,0.738073
83.1166,0.982639
83.1666,0.968299
83.1704,0.949237
83.2166,0.905866
83.2267,0.938681
83.2366,0.938899
83.2466,0.95523
83.2566,0.93501
83.2667,0.862391
83.2704,0.8563
83.3167,0.974927
83.3666,1.13258
83.3704,1.12283
83.4167,1.13605
83.4266,1.09613
83.4367,1.05266
83.4467,1.0268
83.4567,0.960209
83.4666,0.889655
83.4704,0.884664
83.5167,0.710518
83.5667,0.803115
83.5704,0.810003
83.6166,1.09609
83.6266,1.18939
83.6367,1.05568
83.6467,1.07296
83.6566,1.24708
83.6666,1.20734
83.6704,1.14588
83.7166,1.20803
83.7667,1.33818
83.7704,1.32106
83.8167,1.51913
83.8267,1.61023
83.8367,1.5149
83.8467,1.50057
83.8567,1.68323
83.8667,1.71989
83.8704,1.67052
83.9167,1.55459
83.9667,1.40438
83.9704,1.35161
84.0167,1.21661
84.0267,1.21466
84.0366,1.26208
84.0467,1.20982
84.0567,1.13065
84.0667,1.12976
84.0704,1.14357
84.1167,1.20113
84.1667,1.1889
84.1704,1.14171
84.2167,0.943447
84.2267,0.985869
84.2367,1.02022
84.2467,0.991406
84.2567,0.952828
84.2667,0.899933
84.2704,0.878203
84.3167,0.870285
84.3667,1.14159
84.3704,1.1569
84.4167,1.30804
84.4267,1.3529
84.4367,1.3296
84.4467,1.29593
84.4567,1.34866
84.4667,1.36562
84.4704,1.34464
84.5167,1.18943
84.5667,1.36772
84.5704,1.41319
84.6167,1.37023
84.6267,1.30844
84.6367,1.29549
84.6467,1.25059
84.6567,1.15625
84.6667,1.13943
84.6704,1.15083
84.7167,1.00182
84.7667,0.677498
84.7704,0.685532
84.8167,0.741983
84.8267,0.788515
84.8367,0.787541
84.8467,0.820102
84.8567,0.899862
84.8667,0.984386
84.8704,1.00938
84.9167,1.25822
84.9667,1.15195
84.9704,1.1107
85.0167,1.0825
85.0267,1.11359
85.0367,1.0706
85.0467,1.07095
85.0567,1.15809
85.0667,1.20742
85.0704,1.20841
85.1167,1.45112
85.1667,1.82012
85.1704,1.83005
85.2167,1.83529
85.2267,1.70586
85.2367,1.71324
85.2467,1.78746
85.2567,1.67694
85.2667,1.49707
85.2704,1.47251
85.3167,1.33369
85.3667,1.11575
85.3704,1.11614
85.4167,1.16587
85.4267,1.09015
85.4367,1.05623
85.4467,1.13852
85.4567,1.13765
85.4667,1.02854
85.4704,1.01285
85.5167,0.94502
85.5667,0.651464
85.5704,0.611509
85.6167,0.637885
85.6267,0.773234
85.6367,0.673543
85.6467,0.593965
85.6567,0.717014
