time_sec,sinr_db
7.36313,3.19071
7.36462,2.87791
7.36487,5.56599
7.3649,5.07627
7.36671,9.30256
7.36809,3.1882
7.36957,2.87462
7.36982,5.56711
7.36985,5.07801
7.41176,9.31054
7.41208,9.31054
7.41313,3.16558
7.41345,3.16507
7.41462,2.84493
7.41487,5.57714
7.4149,5.09356
7.41519,5.57714
7.46176,9.31936
7.46314,3.14036
7.46462,2.81167
7.46487,5.58827
7.4649,5.11078
7.46672,9.32025
7.46809,3.13783
7.46957,2.80832
7.46983,5.58938
7.46986,5.1125
7.51177,9.32815
7.51314,3.11506
7.51462,2.77811
7.51487,5.59938
7.5149,5.12795
7.56179,9.33691
7.56316,3.08967
7.56464,2.74427
7.5649,5.61048
7.56493,5.14505
7.56675,9.33778
7.56812,3.08712
7.5696,2.74086
7.56985,5.61159
7.56988,5.14676
7.61176,9.34562
7.61208,9.34562
7.61313,3.06419
7.61345,3.06368
7.61462,2.71012
7.61487,5.62156
7.6149,5.16211
7.61519,5.62156
7.66176,9.35429
7.66313,3.03862
7.66462,2.67566
7.66487,5.63263
7.6649,5.1791
7.66672,9.35516
7.66809,3.03606
7.66957,2.6722
7.66982,5.63373
7.66985,5.1808
7.71177,9.36293
7.71314,3.01296
7.71462,2.6409
7.71487,5.64367
7.7149,5.19604
7.76179,9.37153
7.76316,2.98722
7.76464,2.60582
7.7649,5.6547
7.76493,5.21293
7.76671,9.37239
7.76808,2.98464
7.76957,2.60229
7.76982,5.6558
7.76985,5.21461
7.81179,9.3801
7.81211,9.3801
7.81316,2.96138
7.81348,2.96086
7.81464,2.57042
7.8149,5.66571
7.81493,5.22976
7.81496,2.57042
7.81522,5.66571
7.81525,5.22976
7.86179,9.38863
7.86316,2.93545
7.86465,2.53469
7.8649,5.67671
7.86493,5.24653
7.86675,9.38948
7.86812,2.93285
7.8696,2.53134
7.86985,5.67791
7.86988,5.24813
7.91177,9.39294
7.91313,2.92066
7.91462,2.50667
7.91487,5.69058
7.9149,5.25964
7.96176,9.39648
7.96313,2.90723
7.96461,2.48016
7.96486,5.70451
7.96489,5.27102
7.96671,9.39684
7.96808,2.90589
7.96956,2.47751
7.96982,5.7059
7.96985,5.27215
8.01179,9.40003
8.01211,9.40003
8.01316,2.89376
8.01348,2.89349
8.01464,2.45356
8.0149,5.71841
8.01492,5.28237
8.01522,5.71841
8.06179,9.40358
8.06316,2.88022
8.06464,2.42687
8.0649,5.73227
8.06493,5.29372
8.06672,9.40393
8.06808,2.87887
8.06957,2.4242
8.06982,5.73366
8.06985,5.29485
8.1118,9.40713
8.11316,2.86663
8.11464,2.40008
8.1149,5.7461
8.11493,5.30505
8.16179,9.41068
8.16316,2.85298
8.16464,2.3732
8.16489,5.75989
8.16492,5.31637
8.16674,9.41104
8.16811,2.85162
8.16959,2.3705
8.16985,5.76127
8.16988,5.3175
8.21179,9.41424
8.21211,9.41424
8.21316,2.83928
8.21348,2.839
8.21464,2.34621
8.21489,5.77365
8.21492,5.32767
8.21521,5.77365
8.26179,9.41779
8.26316,2.82551
8.26464,2.31913
8.2649,5.78737
8.26492,5.33896
8.26672,9.41815
8.26808,2.82413
8.26956,2.31642
8.26982,5.78874
8.26985,5.34009
8.3118,9.42135
8.31316,2.81169
8.31464,2.29196
8.3149,5.80105
8.31493,5.35023
8.36179,9.42491
8.36316,2.79781
8.36463,2.26468
8.36489,5.8147
8.36492,5.36149
8.36671,9.42526
8.36808,2.79642
8.36956,2.26194
8.36981,5.81607
8.36984,5.36262
8.41179,9.42847
8.41211,9.42847
8.41316,2.78387
8.41348,2.78359
8.41464,2.2373
8.41489,5.82832
8.41492,5.37274
8.41521,5.82832
8.46182,9.43203
8.46319,2.76987
8.46467,2.20982
8.46492,5.8419
8.46495,5.38397
8.46675,9.43238
8.46811,2.76846
8.46959,2.20706
8.46985,5.84326
8.46988,5.38509
8.51179,9.43559
8.51316,2.7558
8.51464,2.18224
8.5149,5.85545
8.51492,5.39519
8.56179,9.43915
8.56315,2.74168
