time_sec,rx_power_watts
23.065,3.34474e-20
23.0696,3.42744e-20
23.115,4.10061e-20
23.1649,4.20068e-20
23.1697,4.15325e-20
23.2149,3.60686e-20
23.225,3.47522e-20
23.235,3.54804e-20
23.245,3.53367e-20
23.255,3.35228e-20
23.265,3.29167e-20
23.2696,3.31347e-20
23.315,3.31842e-20
23.365,2.95891e-20
23.3696,2.80575e-20
23.415,2.93308e-20
23.425,3.03503e-20
23.435,3.20747e-20
23.445,3.23533e-20
23.455,3.27661e-20
23.465,3.40626e-20
23.4696,3.43067e-20
23.515,3.19298e-20
23.565,3.4633e-20
23.5696,3.55728e-20
23.615,3.68352e-20
23.625,3.50295e-20
23.635,3.76811e-20
23.645,4.04879e-20
23.655,3.86669e-20
23.665,3.72106e-20
23.6696,3.78432e-20
23.715,3.76799e-20
23.765,3.28129e-20
23.7696,3.45279e-20
23.815,3.10498e-20
23.825,2.69934e-20
23.835,2.59218e-20
23.845,2.71465e-20
23.855,2.44015e-20
23.865,2.16848e-20
23.8697,2.20567e-20
23.915,2.39759e-20
23.965,2.48214e-20
23.9697,2.54331e-20
24.015,3.15578e-20
24.025,3.32326e-20
24.035,3.13016e-20
24.045,2.88514e-20
24.055,2.83476e-20
24.065,2.96796e-20
24.0697,3.02606e-20
24.115,2.95786e-20
24.165,3.01904e-20
24.1696,3.07628e-20
24.215,3.28548e-20
24.225,3.32986e-20
24.235,3.39083e-20
24.245,3.62495e-20
24.255,3.74099e-20
24.265,3.85829e-20
24.2697,3.98231e-20
24.315,4.71592e-20
24.365,4.25635e-20
24.3696,4.26141e-20
24.415,3.86126e-20
24.425,3.2793e-20
24.435,3.07899e-20
24.445,3.54056e-20
24.455,3.55863e-20
24.465,3.14632e-20
24.4697,3.1408e-20
24.515,3.66706e-20
24.565,3.83382e-20
24.5697,3.68691e-20
24.615,4.1055e-20
24.625,4.08343e-20
24.635,3.93387e-20
24.645,4.02186e-20
24.655,4.11636e-20
24.665,3.86595e-20
24.6697,3.75281e-20
24.715,3.55268e-20
24.765,2.8464e-20
24.7697,2.77329e-20
24.815,2.81357e-20
24.825,3.06309e-20
24.835,3.07117e-20
24.845,3.06481e-20
24.855,3.21944e-20
24.865,3.19591e-20
24.8697,3.07976e-20
24.915,2.84999e-20
24.965,2.3702e-20
24.9696,2.43819e-20
25.015,2.66531e-20
25.025,2.76599e-20
25.035,2.75021e-20
25.045,2.97547e-20
25.055,3.20068e-20
25.065,3.27552e-20
25.0697,3.36724e-20
25.115,3.89993e-20
25.165,4.11607e-20
25.1697,3.97476e-20
25.215,3.22202e-20
25.225,3.30543e-20
25.235,3.23734e-20
25.245,2.89237e-20
25.255,2.71976e-20
25.265,2.84116e-20
25.2697,2.92049e-20
25.315,3.34221e-20
25.365,3.61777e-20
25.3697,3.57052e-20
25.415,3.13645e-20
25.425,3.13782e-20
25.435,3.26589e-20
25.445,3.11186e-20
25.455,3.05612e-20
25.465,3.32159e-20
25.4697,3.39065e-20
25.515,3.34769e-20
25.565,3.17121e-20
25.5697,3.31383e-20
25.615,3.91684e-20
25.625,3.61749e-20
25.635,3.5111e-20
25.645,3.85376e-20
25.655,3.98743e-20
25.665,3.80917e-20
25.6697,3.74157e-20
25.715,3.3228e-20
25.765,2.97514e-20
25.7697,2.99647e-20
25.815,3.21216e-20
25.825,3.18354e-20
25.835,3.32661e-20
25.845,3.63228e-20
25.855,3.70342e-20
25.865,3.58552e-20
25.8696,3.54678e-20
25.915,3.47925e-20
25.965,3.08329e-20
25.9697,3.05792e-20
26.015,2.87109e-20
26.0251,2.89574e-20
26.035,3.21755e-20
26.045,3.17961e-20
26.055,2.92294e-20
26.0651,3.19057e-20
26.0697,3.40794e-20
26.1151,3.40305e-20
26.1651,3.1054e-20
26.1697,3.18444e-20
26.215,3.26995e-20
26.225,2.99159e-20
26.235,2.79619e-20
26.245,2.67589e-20
26.255,2.26393e-20
26.265,1.9175e-20
26.2697,1.9174e-20
26.315,2.02783e-20
26.365,2.05328e-20
26.3697,2.15871e-20
26.415,2.33948e-20
26.425,2.14395e-20
26.4351,1.95605e-20
26.4451,2.26107e-20
26.455,2.28619e-20
26.465,1.86501e-20
26.4697,1.8111e-20
26.5151,2.45162e-20
26.5651,3.18125e-20
26.5697,3.29762e-20
26.615,4.33605e-20
26.625,4.46675e-20
26.635,4.5509e-20
26.645,4.82608e-20
26.655,5.05554e-20
26.665,5.24348e-20
26.6697,5.34544e-20
26.715,5.18144e-20
26.7651,4.0189e-20
26.7697,3.90715e-20
26.8151,2.86483e-20
26.8251,2.73894e-20
26.835,2.33499e-20
26.8451,2.2449e-20
26.8551,2.41137e-20
26.8651,2.325e-20
26.8697,2.24587e-20
26.9151,2.45836e-20
26.9651,1.80036e-20
26.9697,1.72441e-20
27.0151,2.15665e-20
27.0251,2.2803e-20
27.0351,2.13126e-20
27.0451,2.39622e-20
27.0551,2.73552e-20
27.0651,2.53721e-20
27.0697,2.42552e-20
27.1151,3.22254e-20
27.165,4.1237e-20
27.1697,3.99692e-20
27.2151,4.44693e-20
27.2251,4.54548e-20
27.2351,4.89496e-20
27.2451,4.94953e-20
27.2551,4.74757e-20
27.2651,4.74778e-20
27.2697,4.84966e-20
27.3151,4.75556e-20
27.3651,4.82721e-20
27.3697,4.80116e-20
27.4151,4.5433e-20
27.4251,4.62259e-20
27.4351,4.78024e-20
27.4451,4.73612e-20
27.4551,4.51446e-20
27.4651,4.38509e-20
27.4697,4.37012e-20
27.5151,3.80234e-20
27.5651,3.13843e-20
27.5697,3.23259e-20
27.6151,2.94769e-20
27.6251,2.97794e-20
27.6351,2.6725e-20
27.6451,2.64982e-20
27.6551,3.04193e-20
27.6651,3.18366e-20
27.6697,3.09027e-20
27.7151,2.63362e-20
27.7651,2.75443e-20
27.7697,2.86954e-20
27.8151,3.32974e-20
27.8251,3.38035e-20
27.8351,3.46702e-20
27.8451,3.32357e-20
27.8551,3.20319e-20
27.8651,3.48261e-20
27.8697,3.62105e-20
27.9151,3.60709e-20
27.9651,3.01402e-20
27.9697,2.97942e-20
28.0151,2.4662e-20
28.0251,2.24557e-20
28.0351,2.4735e-20
28.0451,2.532e-20
28.0551,2.13614e-20
28.0651,2.0826e-20
28.0697,2.21949e-20
28.1151,2.69083e-20
28.1651,2.82553e-20
28.1697,2.82544e-20
28.2151,3.39742e-20
28.2251,3.10111e-20
28.2351,2.96362e-20
28.2451,3.28277e-20
28.2551,3.37577e-20
28.2651,3.1182e-20
28.2697,3.06703e-20
28.3151,3.38491e-20
28.3651,4.18742e-20
28.3697,4.33644e-20
28.4151,5.0349e-20
28.4251,4.78895e-20
28.4351,4.88275e-20
28.4451,5.24916e-20
28.4551,5.06452e-20
28.4651,4.6397e-20
28.4697,4.59722e-20
28.5151,4.14125e-20
28.5651,3.15267e-20
28.5697,3.29243e-20
28.6151,3.34382e-20
28.6251,3.18725e-20
28.6351,3.32071e-20
28.6451,3.68632e-20
28.6551,3.5591e-20
28.6651,3.38869e-20
28.6697,3.51149e-20
28.7151,3.6981e-20
28.7651,2.09315e-20
28.7697,1.94765e-20
28.8151,1.991e-20
28.8251,2.29526e-20
28.8351,1.94726e-20
28.8451,1.92735e-20
28.8551,2.28011e-20
28.8651,2.44375e-20
28.8697,2.5107e-20
28.9151,3.53855e-20
28.9651,3.95751e-20
28.9697,3.89081e-20
29.0151,3.79139e-20
29.0251,3.91206e-20
29.0351,3.69204e-20
29.0451,3.57731e-20
29.0551,3.61271e-20
29.0651,3.45853e-20
29.0697,3.34622e-20
29.1151,2.9279e-20
29.1651,2.99799e-20
29.1697,3.00298e-20
29.2151,2.84453e-20
29.2251,2.37003e-20
29.2351,2.32221e-20
29.2451,2.72477e-20
29.2551,2.72212e-20
29.2651,2.41225e-20
29.2697,2.41731e-20
29.3151,3.12786e-20
29.3651,3.62378e-20
29.3697,3.54763e-20
29.4151,4.45345e-20
29.4251,4.575e-20
29.4351,4.37787e-20
29.4451,4.45208e-20
29.4551,4.71075e-20
29.4651,4.52574e-20
29.4697,4.34041e-20
29.5151,3.85424e-20
29.5651,3.50074e-20
29.5697,3.47248e-20
29.6151,4.07099e-20
29.6251,4.46047e-20
29.6351,4.57143e-20
29.6452,4.58012e-20
29.6551,4.88102e-20
29.6651,5.01671e-20
29.6697,4.89329e-20
29.7151,4.5455e-20
29.7651,4.18622e-20
29.7697,4.29303e-20
29.8151,4.04376e-20
29.8251,3.93155e-20
29.8351,4.17406e-20
29.8451,4.23312e-20
29.8551,3.92594e-20
29.8651,3.97667e-20
29.8697,4.16719e-20
29.9151,4.34671e-20
29.9651,4.9841e-20
29.9697,4.98866e-20
30.0152,4.75053e-20
30.0251,4.72282e-20
30.0351,4.73e-20
30.0451,4.349e-20
30.0552,3.78623e-20
30.0652,3.64122e-20
30.0697,3.70489e-20
30.1151,3.26049e-20
30.1651,3.6165e-20
30.1697,3.72981e-20
30.2151,3.92772e-20
30.2251,3.8301e-20
30.2351,3.73349e-20
30.2451,3.54705e-20
30.2551,3.4157e-20
30.2651,3.41944e-20
30.2697,3.35951e-20
30.3151,2.66104e-20
30.3651,2.55586e-20
30.3697,2.8295e-20
30.4151,3.82017e-20
30.4252,3.34347e-20
30.4352,3.27267e-20
30.4452,3.93185e-20
30.4551,4.13147e-20
30.4652,4.01809e-20
30.4697,4.11535e-20
30.5152,4.84039e-20
30.5652,4.58224e-20
30.5697,4.58638e-20
30.6151,4.60441e-20
30.6252,4.39156e-20
30.6352,4.32443e-20
30.6451,4.74429e-20
30.6551,4.78351e-20
30.6651,4.45221e-20
30.6697,4.42277e-20
30.7152,4.55032e-20
30.7652,3.51407e-20
30.7697,3.34849e-20
